topic,link
Public Rights of Way Shapefile,https://www.coventry.gov.uk/directory-record/59050/public-rights-of-way-shapefile
Public Rights of Way: 20116419,https://www.coventry.gov.uk/directory-record/44496/public-rights-of-way-20116419
Public Rights of Way: REQ01320,https://www.coventry.gov.uk/directory-record/48084/public-rights-of-way-req01320
Public Rights of Way: REQ01408,https://www.coventry.gov.uk/directory-record/48224/public-rights-of-way-req01408
Public Roads,https://www.coventry.gov.uk/directory-record/45945/public-roads
Public Sector IT,https://www.coventry.gov.uk/directory-record/46701/public-sector-it
Public Sector Pay Inequality,https://www.coventry.gov.uk/directory-record/45359/public-sector-pay-inequality
Public services contracts to voluntary sector organisations.,https://www.coventry.gov.uk/directory-record/45091/public-services-contracts-to-voluntary-sector-organisations-
Public space CCTV cameras.,https://www.coventry.gov.uk/directory-record/45090/public-space-cctv-cameras-
Public Space Protection Order: REQ00564,https://www.coventry.gov.uk/directory-record/47359/public-space-protection-order-req00564
Public Space Protection Order: REQ00859,https://www.coventry.gov.uk/directory-record/47727/public-space-protection-order-req00859
Public Space Protection Orders relating to Dogs,https://www.coventry.gov.uk/directory-record/47972/public-space-protection-orders-relating-to-dogs
Public Space Protection Orders: REQ00612,https://www.coventry.gov.uk/directory-record/47462/public-space-protection-orders-req00612
Public Space Protection Orders: REQ00800,https://www.coventry.gov.uk/directory-record/47744/public-space-protection-orders-req00800
Public Space Protection Orders: REQ01356,https://www.coventry.gov.uk/directory-record/48193/public-space-protection-orders-req01356
Public Space Protection Orders: REQ03961,https://www.coventry.gov.uk/directory-record/48691/public-space-protection-orders-req03961
Public sports and leisure facilities ,https://www.coventry.gov.uk/directory-record/57939/public-sports-and-leisure-facilities-
Public Toilet Closures,https://www.coventry.gov.uk/directory-record/47894/public-toilet-closures
Public Toilets,https://www.coventry.gov.uk/directory-record/47899/public-toilets
Public toilets,https://www.coventry.gov.uk/directory-record/49149/public-toilets
Public toilets maintained 2019/20 and 2020/21,https://www.coventry.gov.uk/directory-record/49198/public-toilets-maintained-2019-20-and-2020-21
Public toilets.,https://www.coventry.gov.uk/directory-record/43970/public-toilets-
Public urination,https://www.coventry.gov.uk/directory-record/48655/public-urination
Pubs in Coventry,https://www.coventry.gov.uk/directory-record/49135/pubs-in-coventry
Pupil Absence and prosecutions re: Section 444,https://www.coventry.gov.uk/directory-record/48645/pupil-absence-and-prosecutions-re-section-444
Pupil Data - Children Not in Education ,https://www.coventry.gov.uk/directory-record/57302/pupil-data-children-not-in-education-
Pupil Exclusions for the last three years,https://www.coventry.gov.uk/directory-record/45697/pupil-exclusions-for-the-last-three-years
Pupil managed moves and negotiated transfers ,https://www.coventry.gov.uk/directory-record/49193/pupil-managed-moves-and-negotiated-transfers-
Pupil on teacher attacks.,https://www.coventry.gov.uk/directory-record/44169/pupil-on-teacher-attacks-
Pupil Premium.,https://www.coventry.gov.uk/directory-record/45469/pupil-premium-
Pupil Referral Unit (PRU),https://www.coventry.gov.uk/directory-record/43893/pupil-referral-unit-pru-
Pupil Referral Units,https://www.coventry.gov.uk/directory-record/48501/pupil-referral-units
Pupils Excluded form School Roll,https://www.coventry.gov.uk/directory-record/46932/pupils-excluded-form-school-roll
Pupils suspended in each of the past ten years.,https://www.coventry.gov.uk/directory-record/44497/pupils-suspended-in-each-of-the-past-ten-years-
Puppies seized by Council,https://www.coventry.gov.uk/directory-record/45773/puppies-seized-by-council
Purchase of Diesel Cars,https://www.coventry.gov.uk/directory-record/43549/purchase-of-diesel-cars
Purchases by schools.,https://www.coventry.gov.uk/directory-record/46433/purchases-by-schools-
Purchasing of staff ID cards,https://www.coventry.gov.uk/directory-record/46694/purchasing-of-staff-id-cards
Purpose built student accommodations ,https://www.coventry.gov.uk/directory-record/44315/purpose-built-student-accommodations-
Qualified social worker posts in adults and children's services.,https://www.coventry.gov.uk/directory-record/46652/qualified-social-worker-posts-in-adults-and-children-s-services-
Qualified teachers who provide support in autism.,https://www.coventry.gov.uk/directory-record/46653/qualified-teachers-who-provide-support-in-autism-
Quality assurance in children's social work,https://www.coventry.gov.uk/directory-record/49077/quality-assurance-in-children-s-social-work
Quantities and versions of Autodesk software.,https://www.coventry.gov.uk/directory-record/46654/quantities-and-versions-of-autodesk-software-
Queen's Platinum Jubilee budget,https://www.coventry.gov.uk/directory-record/57911/queen-s-platinum-jubilee-budget
Questions relating to the Aquatic Survey,https://www.coventry.gov.uk/directory-record/46271/questions-relating-to-the-aquatic-survey
Quinton Pool and park,https://www.coventry.gov.uk/directory-record/49170/quinton-pool-and-park
Quinton Road Enforcement Camera Data,https://www.coventry.gov.uk/directory-record/48167/quinton-road-enforcement-camera-data
Race discrimination,https://www.coventry.gov.uk/directory-record/57787/race-discrimination
Racist incidents at schools,https://www.coventry.gov.uk/directory-record/46729/racist-incidents-at-schools
Racist incidents in schools,https://www.coventry.gov.uk/directory-record/49069/racist-incidents-in-schools
RADA in Business,https://www.coventry.gov.uk/directory-record/45177/rada-in-business
Radford Social Services Building,https://www.coventry.gov.uk/directory-record/57897/radford-social-services-building
Radio aids for deaf children,https://www.coventry.gov.uk/directory-record/45292/radio-aids-for-deaf-children
Railway/Tram Scheme,https://www.coventry.gov.uk/directory-record/43904/railway-tram-scheme
Rainbow Crossing and wayfinding columns,https://www.coventry.gov.uk/directory-record/48953/rainbow-crossing-and-wayfinding-columns
Rainbow crossing costs,https://www.coventry.gov.uk/directory-record/48904/rainbow-crossing-costs
Rat Issues,https://www.coventry.gov.uk/directory-record/43523/rat-issues
Rate relief 1/04/2010 to present,https://www.coventry.gov.uk/directory-record/47095/rate-relief-1-04-2010-to-present
Rateable Value,https://www.coventry.gov.uk/directory-record/45004/rateable-value
Rateable Value assessments.,https://www.coventry.gov.uk/directory-record/46192/rateable-value-assessments-
Rateable value reductions.,https://www.coventry.gov.uk/directory-record/44404/rateable-value-reductions-
Rateable value request.,https://www.coventry.gov.uk/directory-record/44168/rateable-value-request-
Ratepayer and the Rates payable for Spire House and Christchurch House.,https://www.coventry.gov.uk/directory-record/46544/ratepayer-and-the-rates-payable-for-spire-house-and-christchurch-house-
Ratepayer details.,https://www.coventry.gov.uk/directory-record/44167/ratepayer-details-
Ratepayer information.,https://www.coventry.gov.uk/directory-record/44166/ratepayer-information-
Rating Assessments,https://www.coventry.gov.uk/directory-record/47043/rating-assessments
Re-claim Small Business Rates Relief ,https://www.coventry.gov.uk/directory-record/48829/re-claim-small-business-rates-relief-
Re-enablement care provision.,https://www.coventry.gov.uk/directory-record/45386/re-enablement-care-provision-
Reablement and equipment service contracts.,https://www.coventry.gov.uk/directory-record/46272/reablement-and-equipment-service-contracts-
Reasons are children known to Social Care ,https://www.coventry.gov.uk/directory-record/48962/reasons-are-children-known-to-social-care-
Recipients of adult education or training,https://www.coventry.gov.uk/directory-record/44590/recipients-of-adult-education-or-training
Recorded Cases of Primary School Children Self-harming,https://www.coventry.gov.uk/directory-record/47009/recorded-cases-of-primary-school-children-self-harming
Recorded food related sickness/illness cases at schools and colleges.,https://www.coventry.gov.uk/directory-record/46001/recorded-food-related-sickness-illness-cases-at-schools-and-colleges-
Recovery of employee overpayments,https://www.coventry.gov.uk/directory-record/45273/recovery-of-employee-overpayments
Recruitment Agencies,https://www.coventry.gov.uk/directory-record/46875/recruitment-agencies
Recruitment agencies 2021/2022,https://www.coventry.gov.uk/directory-record/57802/recruitment-agencies-2021-2022
Recruitment agencies and advertising expenditure,https://www.coventry.gov.uk/directory-record/45645/recruitment-agencies-and-advertising-expenditure
Recruitment and redundancy,https://www.coventry.gov.uk/directory-record/45089/recruitment-and-redundancy
Recruitment and retention Children's Services Social Workers,https://www.coventry.gov.uk/directory-record/47458/recruitment-and-retention-children-s-services-social-workers
Recruitment at Adrian Howes School.,https://www.coventry.gov.uk/directory-record/45088/recruitment-at-adrian-howes-school-
Recruitment MSP ,https://www.coventry.gov.uk/directory-record/44801/recruitment-msp-
Recruitment of British Muslims,https://www.coventry.gov.uk/directory-record/57427/recruitment-of-british-muslims
Recruitment of Children's Services social workers,https://www.coventry.gov.uk/directory-record/48760/recruitment-of-children-s-services-social-workers
"Recruitment, Selection and Appointment of Head of Planning",https://www.coventry.gov.uk/directory-record/46804/recruitment-selection-and-appointment-of-head-of-planning
Recycled rubbish,https://www.coventry.gov.uk/directory-record/45087/recycled-rubbish
Recycled waste sent abroad,https://www.coventry.gov.uk/directory-record/45741/recycled-waste-sent-abroad
Recycling and Fines,https://www.coventry.gov.uk/directory-record/48402/recycling-and-fines
Recycling and local air quality,https://www.coventry.gov.uk/directory-record/45294/recycling-and-local-air-quality
Recycling and Reuse Centre booking requirement,https://www.coventry.gov.uk/directory-record/58099/recycling-and-reuse-centre-booking-requirement
Recycling and Waste,https://www.coventry.gov.uk/directory-record/48004/recycling-and-waste
Recycling and waste support and maintenance contracts,https://www.coventry.gov.uk/directory-record/44403/recycling-and-waste-support-and-maintenance-contracts
Recycling collections,https://www.coventry.gov.uk/directory-record/45086/recycling-collections
Recycling of clothing,https://www.coventry.gov.uk/directory-record/45879/recycling-of-clothing
Recycling of materials collected from homes and businesses,https://www.coventry.gov.uk/directory-record/48246/recycling-of-materials-collected-from-homes-and-businesses
Recycling rates,https://www.coventry.gov.uk/directory-record/46193/recycling-rates
Recycling refuse collectors noise exposure,https://www.coventry.gov.uk/directory-record/49099/recycling-refuse-collectors-noise-exposure
Recycling services,https://www.coventry.gov.uk/directory-record/43639/recycling-services
Recycling Target & Fines,https://www.coventry.gov.uk/directory-record/48082/recycling-target-fines
Redevelopment scheme for Coventry railway station,https://www.coventry.gov.uk/directory-record/45470/redevelopment-scheme-for-coventry-railway-station
Redress Schemes,https://www.coventry.gov.uk/directory-record/47261/redress-schemes
Redrow Homes - Planning Approvals,https://www.coventry.gov.uk/directory-record/48497/redrow-homes-planning-approvals
Reduced parking fees,https://www.coventry.gov.uk/directory-record/49120/reduced-parking-fees
Reducing Parental Conflict grant,https://www.coventry.gov.uk/directory-record/58906/reducing-parental-conflict-grant
Reference provided for previous member of staff,https://www.coventry.gov.uk/directory-record/44284/reference-provided-for-previous-member-of-staff
Referral & Assessment Policy,https://www.coventry.gov.uk/directory-record/48495/referral-assessment-policy
Referrals by school staff,https://www.coventry.gov.uk/directory-record/57358/referrals-by-school-staff
Referrals for potential homelessness,https://www.coventry.gov.uk/directory-record/48921/referrals-for-potential-homelessness
Referrals Looked After Children Foster,https://www.coventry.gov.uk/directory-record/47111/referrals-looked-after-children-foster
Referrals made to under-18s to specialist drug and alcohol services.,https://www.coventry.gov.uk/directory-record/46069/referrals-made-to-under-18s-to-specialist-drug-and-alcohol-services-
Referrals regarding female genital mutilation,https://www.coventry.gov.uk/directory-record/57631/referrals-regarding-female-genital-mutilation
Referrals relating to radicalisation concerns,https://www.coventry.gov.uk/directory-record/58103/referrals-relating-to-radicalisation-concerns
Referrals to 'Channel' service for children at risk of being drawn into terrorism,https://www.coventry.gov.uk/directory-record/47543/referrals-to-channel-service-for-children-at-risk-of-being-drawn-into-terrorism
Referrals to ASC Visual & Hearing Impairment,https://www.coventry.gov.uk/directory-record/45695/referrals-to-asc-visual-hearing-impairment
Referrals to children's services from schools,https://www.coventry.gov.uk/directory-record/48949/referrals-to-children-s-services-from-schools
Referrals to independent advocacy under the Care Act 2014,https://www.coventry.gov.uk/directory-record/47065/referrals-to-independent-advocacy-under-the-care-act-2014
Referrals to LADO,https://www.coventry.gov.uk/directory-record/48386/referrals-to-lado
Referrals to social care,https://www.coventry.gov.uk/directory-record/57356/referrals-to-social-care
Referrals to social services because of concerns over dogs.,https://www.coventry.gov.uk/directory-record/46351/referrals-to-social-services-because-of-concerns-over-dogs-
Referrals to the MASH Team,https://www.coventry.gov.uk/directory-record/49084/referrals-to-the-mash-team
Referrals to the Treasury Solicitor: 20090178,https://www.coventry.gov.uk/directory-record/45251/referrals-to-the-treasury-solicitor-20090178
Referrals to the Treasury Solicitor: 20092516,https://www.coventry.gov.uk/directory-record/45250/referrals-to-the-treasury-solicitor-20092516
Referrals/Expenditure for Drug/Alcohol Treatment Services,https://www.coventry.gov.uk/directory-record/47693/referrals-expenditure-for-drug-alcohol-treatment-services
Refuge accommodation places,https://www.coventry.gov.uk/directory-record/43925/refuge-accommodation-places
Refuge accommodation places available.,https://www.coventry.gov.uk/directory-record/44677/refuge-accommodation-places-available-
Refugees in Coventry,https://www.coventry.gov.uk/directory-record/48275/refugees-in-coventry
Refund of council tax,https://www.coventry.gov.uk/directory-record/44845/refund-of-council-tax
Refunded Parking Fines,https://www.coventry.gov.uk/directory-record/46806/refunded-parking-fines
Refusal for accommodation,https://www.coventry.gov.uk/directory-record/43533/refusal-for-accommodation
Refusal to house a person or household on the Council allocation list,https://www.coventry.gov.uk/directory-record/48002/refusal-to-house-a-person-or-household-on-the-council-allocation-list
Refuse Collection,https://www.coventry.gov.uk/directory-record/47644/refuse-collection
Refuse collection and enforcement,https://www.coventry.gov.uk/directory-record/45341/refuse-collection-and-enforcement
Refuse Collection employees,https://www.coventry.gov.uk/directory-record/48592/refuse-collection-employees
Refuse Collection guidelines and claims,https://www.coventry.gov.uk/directory-record/43493/refuse-collection-guidelines-and-claims
Refuse Collections,https://www.coventry.gov.uk/directory-record/48668/refuse-collections
Refuse collectors assaulted by members of the public,https://www.coventry.gov.uk/directory-record/46273/refuse-collectors-assaulted-by-members-of-the-public
Regional Adoption Agency,https://www.coventry.gov.uk/directory-record/45597/regional-adoption-agency
"Register for buildings, land, works of art",https://www.coventry.gov.uk/directory-record/46759/register-for-buildings-land-works-of-art
Register of Brownfield Sites,https://www.coventry.gov.uk/directory-record/48701/register-of-brownfield-sites
Register of disabled children.,https://www.coventry.gov.uk/directory-record/44165/register-of-disabled-children-
Register of Part B/A2 permits.,https://www.coventry.gov.uk/directory-record/46352/register-of-part-b-a2-permits-
Registered Business's in Coventry,https://www.coventry.gov.uk/directory-record/47799/registered-business-s-in-coventry
Registered Businesses,https://www.coventry.gov.uk/directory-record/46783/registered-businesses
Registered cooling towers,https://www.coventry.gov.uk/directory-record/48739/registered-cooling-towers
Registered cooling towers.,https://www.coventry.gov.uk/directory-record/44164/registered-cooling-towers-
Registered Food Businesses,https://www.coventry.gov.uk/directory-record/46920/registered-food-businesses
Registered hearing impaired people in Coventry.,https://www.coventry.gov.uk/directory-record/46655/registered-hearing-impaired-people-in-coventry-
Registered Social Landlords,https://www.coventry.gov.uk/directory-record/58921/registered-social-landlords
Registering a child,https://www.coventry.gov.uk/directory-record/48015/registering-a-child
Registering of Births,https://www.coventry.gov.uk/directory-record/48014/registering-of-births
Registry Office Fees,https://www.coventry.gov.uk/directory-record/45751/registry-office-fees
Registry Office income,https://www.coventry.gov.uk/directory-record/57245/registry-office-income
Regulation 33 visits to Children's Homes.,https://www.coventry.gov.uk/directory-record/44772/regulation-33-visits-to-children-s-homes-
Regulation of Investigatory Powers Act: 20123233,https://www.coventry.gov.uk/directory-record/46656/regulation-of-investigatory-powers-act-20123233
Regulation of Investigatory Powers Act: 20124026,https://www.coventry.gov.uk/directory-record/47024/regulation-of-investigatory-powers-act-20124026
Regulation of Investigatory Powers Act: REQ00560,https://www.coventry.gov.uk/directory-record/47509/regulation-of-investigatory-powers-act-req00560
Rehabilitation for blind and partially sighted people: 20105034,https://www.coventry.gov.uk/directory-record/44913/rehabilitation-for-blind-and-partially-sighted-people-20105034
Rehabilitation for blind and partially sighted people: 20109103,https://www.coventry.gov.uk/directory-record/44771/rehabilitation-for-blind-and-partially-sighted-people-20109103
Removal of statues,https://www.coventry.gov.uk/directory-record/45557/removal-of-statues
Removal of syringes,https://www.coventry.gov.uk/directory-record/47068/removal-of-syringes
Removal of Trees at Canley Garden Cemetery,https://www.coventry.gov.uk/directory-record/46966/removal-of-trees-at-canley-garden-cemetery
Removal of trees at Newlands House,https://www.coventry.gov.uk/directory-record/45380/removal-of-trees-at-newlands-house
Removed school children,https://www.coventry.gov.uk/directory-record/57246/removed-school-children
Removing children from parents.,https://www.coventry.gov.uk/directory-record/45176/removing-children-from-parents-
Remuneration and audit committee meetings.,https://www.coventry.gov.uk/directory-record/46657/remuneration-and-audit-committee-meetings-
Remuneration received by the Mayor,https://www.coventry.gov.uk/directory-record/46274/remuneration-received-by-the-mayor
Renewal and or installing traffic related works expenditure.,https://www.coventry.gov.uk/directory-record/46275/renewal-and-or-installing-traffic-related-works-expenditure-
Renewal of Cook and Eat Well contract.,https://www.coventry.gov.uk/directory-record/45249/renewal-of-cook-and-eat-well-contract-
Rent arrears: 20098912,https://www.coventry.gov.uk/directory-record/45002/rent-arrears-20098912
Rent arrears: 20115374,https://www.coventry.gov.uk/directory-record/44589/rent-arrears-20115374
Reopening High Streets Safely Fund ,https://www.coventry.gov.uk/directory-record/48847/reopening-high-streets-safely-fund-
Reopening of pathway between Athol Rd and Darwin Close.,https://www.coventry.gov.uk/directory-record/46434/reopening-of-pathway-between-athol-rd-and-darwin-close-
Repair and renew grants,https://www.coventry.gov.uk/directory-record/46070/repair-and-renew-grants
Repairs to schools.,https://www.coventry.gov.uk/directory-record/45001/repairs-to-schools-
Repairs to the bridge over the rail line on St James Lane.,https://www.coventry.gov.uk/directory-record/43640/repairs-to-the-bridge-over-the-rail-line-on-st-james-lane-
Replacement for Social Fund,https://www.coventry.gov.uk/directory-record/57654/replacement-for-social-fund
Replacement of Road Studs,https://www.coventry.gov.uk/directory-record/45666/replacement-of-road-studs
Replacement of tourist road signs for Coventry Arena,https://www.coventry.gov.uk/directory-record/58919/replacement-of-tourist-road-signs-for-coventry-arena
Report why ACL should be sold to Wasps,https://www.coventry.gov.uk/directory-record/46697/report-why-acl-should-be-sold-to-wasps
Reported Incidents in Non Domestic Childcare,https://www.coventry.gov.uk/directory-record/48423/reported-incidents-in-non-domestic-childcare
Reported potholes,https://www.coventry.gov.uk/directory-record/44857/reported-potholes
Reported whistleblowing cases and policies,https://www.coventry.gov.uk/directory-record/46194/reported-whistleblowing-cases-and-policies
Reports of abuse against disabled adults,https://www.coventry.gov.uk/directory-record/58456/reports-of-abuse-against-disabled-adults
Reports of flytipping and fines,https://www.coventry.gov.uk/directory-record/45599/reports-of-flytipping-and-fines
Request for CCTV Footage,https://www.coventry.gov.uk/directory-record/46837/request-for-cctv-footage
Request for CCTV: REQ00048,https://www.coventry.gov.uk/directory-record/43717/request-for-cctv-req00048
Request for CCTV: REQ00269,https://www.coventry.gov.uk/directory-record/47151/request-for-cctv-req00269
Request for GovMetric Data,https://www.coventry.gov.uk/directory-record/47307/request-for-govmetric-data
Request for personal data,https://www.coventry.gov.uk/directory-record/46695/request-for-personal-data
Request for Personal Data,https://www.coventry.gov.uk/directory-record/46907/request-for-personal-data
Request for Personal Information,https://www.coventry.gov.uk/directory-record/46941/request-for-personal-information
Request on School Accessibility,https://www.coventry.gov.uk/directory-record/47432/request-on-school-accessibility
Request regarding short breaks for families.,https://www.coventry.gov.uk/directory-record/45175/request-regarding-short-breaks-for-families-
Request statistics,https://www.coventry.gov.uk/directory-record/47207/request-statistics
Requesting personal information,https://www.coventry.gov.uk/directory-record/46435/requesting-personal-information
Requesting the Name of a Sole Trader,https://www.coventry.gov.uk/directory-record/46931/requesting-the-name-of-a-sole-trader
Requests for Flexible Retirement Working,https://www.coventry.gov.uk/directory-record/58472/requests-for-flexible-retirement-working
Research into Licensing of HMOs,https://www.coventry.gov.uk/directory-record/45712/research-into-licensing-of-hmos
Research Project Re: Mental Capacity Act 2005,https://www.coventry.gov.uk/directory-record/47234/research-project-re-mental-capacity-act-2005
Researching the salary range,https://www.coventry.gov.uk/directory-record/44676/researching-the-salary-range
Resident parking permit and parking restriction areas.,https://www.coventry.gov.uk/directory-record/46071/resident-parking-permit-and-parking-restriction-areas-
Resident Parking Zones,https://www.coventry.gov.uk/directory-record/47416/resident-parking-zones
Resident-to-resident harm in residential care settings,https://www.coventry.gov.uk/directory-record/57774/resident-to-resident-harm-in-residential-care-settings
Residential & Nursing Care Placement for People with Mental Health Problems,https://www.coventry.gov.uk/directory-record/48035/residential-nursing-care-placement-for-people-with-mental-health-problems
Residential Care homes.,https://www.coventry.gov.uk/directory-record/44065/residential-care-homes-
Residential children's care placements.,https://www.coventry.gov.uk/directory-record/43415/residential-children-s-care-placements-
Residential family assessment units.,https://www.coventry.gov.uk/directory-record/46545/residential-family-assessment-units-
Residential Homes,https://www.coventry.gov.uk/directory-record/48080/residential-homes
"Residential homes, hostels, day centres and family centres.",https://www.coventry.gov.uk/directory-record/46072/residential-homes-hostels-day-centres-and-family-centres-
Residential Pest Control,https://www.coventry.gov.uk/directory-record/48324/residential-pest-control
Residential Property Development Projects,https://www.coventry.gov.uk/directory-record/58088/residential-property-development-projects
Residential Rehabilitation referrals and detoxification.,https://www.coventry.gov.uk/directory-record/43638/residential-rehabilitation-referrals-and-detoxification-
"Residential, Dementia and Nursing Fee Rates",https://www.coventry.gov.uk/directory-record/48216/residential-dementia-and-nursing-fee-rates
Residents parking scheme in the Charterhouse area.,https://www.coventry.gov.uk/directory-record/46546/residents-parking-scheme-in-the-charterhouse-area-
Resources and Legal Services Division contacts,https://www.coventry.gov.uk/directory-record/45248/resources-and-legal-services-division-contacts
Respite care funded by the Council.,https://www.coventry.gov.uk/directory-record/46547/respite-care-funded-by-the-council-
Restraint at schools,https://www.coventry.gov.uk/directory-record/57903/restraint-at-schools
Restraints used at Pupil Referral Units,https://www.coventry.gov.uk/directory-record/48374/restraints-used-at-pupil-referral-units
Restraints used on School Pupils,https://www.coventry.gov.uk/directory-record/48438/restraints-used-on-school-pupils
Retail Rate Relief for 2015/2016,https://www.coventry.gov.uk/directory-record/46903/retail-rate-relief-for-2015-2016
Retention & Appeals Contacts,https://www.coventry.gov.uk/directory-record/48124/retention-appeals-contacts
Retention of social workers.,https://www.coventry.gov.uk/directory-record/46548/retention-of-social-workers-
Retrospective planning permission,https://www.coventry.gov.uk/directory-record/45174/retrospective-planning-permission
Return Home Interviews (RHI),https://www.coventry.gov.uk/directory-record/58362/return-home-interviews-rhi-
Return Home Interviews and Post-missing support services,https://www.coventry.gov.uk/directory-record/57331/return-home-interviews-and-post-missing-support-services
Return interviews for missing children.,https://www.coventry.gov.uk/directory-record/45247/return-interviews-for-missing-children-
Revenue and Costs relating to Film and Television Production,https://www.coventry.gov.uk/directory-record/47885/revenue-and-costs-relating-to-film-and-television-production
Revenue from Parking Meters,https://www.coventry.gov.uk/directory-record/48398/revenue-from-parking-meters
Revenue from public toilets,https://www.coventry.gov.uk/directory-record/49044/revenue-from-public-toilets
Revenue from residents parking permits,https://www.coventry.gov.uk/directory-record/46724/revenue-from-residents-parking-permits
Revenue lost from rates not being paid,https://www.coventry.gov.uk/directory-record/47433/revenue-lost-from-rates-not-being-paid
Revenue made from Parking Charges,https://www.coventry.gov.uk/directory-record/45685/revenue-made-from-parking-charges
Revenue of Cox Street car park.,https://www.coventry.gov.uk/directory-record/46549/revenue-of-cox-street-car-park-
Revenues ad Benefits Workflow System and Caseload,https://www.coventry.gov.uk/directory-record/58448/revenues-ad-benefits-workflow-system-and-caseload
Revenues and Benefits Staff,https://www.coventry.gov.uk/directory-record/47826/revenues-and-benefits-staff
Review - ICO Data Protection Audit Report,https://www.coventry.gov.uk/directory-record/48078/review-ico-data-protection-audit-report
Review of REQ00145,https://www.coventry.gov.uk/directory-record/47460/review-of-req00145
Review of REQ00370 - placement of children in children's homes,https://www.coventry.gov.uk/directory-record/47469/review-of-req00370-placement-of-children-in-children-s-homes
Review of REQ00452 - Private Hire Operators,https://www.coventry.gov.uk/directory-record/47461/review-of-req00452-private-hire-operators
Review of REQ00628 Community Safety Partnership Plan(s),https://www.coventry.gov.uk/directory-record/47854/review-of-req00628-community-safety-partnership-plan-s-
Review of REQ00737,https://www.coventry.gov.uk/directory-record/47642/review-of-req00737
Review of REQ01326 - Licensing & Reg Committee Minutes 21st June 2011,https://www.coventry.gov.uk/directory-record/48152/review-of-req01326-licensing-reg-committee-minutes-21st-june-2011
Review of Request REQ00613 - Capital Academy Council Tax processing system,https://www.coventry.gov.uk/directory-record/46778/review-of-request-req00613-capital-academy-council-tax-processing-system
Review of Request REQ00948,https://www.coventry.gov.uk/directory-record/48141/review-of-request-req00948
Review of statues and street names,https://www.coventry.gov.uk/directory-record/49154/review-of-statues-and-street-names
Review of the Green Belt,https://www.coventry.gov.uk/directory-record/47747/review-of-the-green-belt
Rewilding,https://www.coventry.gov.uk/directory-record/49046/rewilding
Ricoh Arena Car Park,https://www.coventry.gov.uk/directory-record/48296/ricoh-arena-car-park
Ricoh Arena costs.,https://www.coventry.gov.uk/directory-record/44283/ricoh-arena-costs-
Ricoh Arena project costs,https://www.coventry.gov.uk/directory-record/44588/ricoh-arena-project-costs
"Ricoh Arena, Coventry Hotel Development",https://www.coventry.gov.uk/directory-record/49142/ricoh-arena-coventry-hotel-development
Ricoh Freehold.,https://www.coventry.gov.uk/directory-record/44163/ricoh-freehold-
Ricoh Virtual Parking Scheme,https://www.coventry.gov.uk/directory-record/46780/ricoh-virtual-parking-scheme
Riding Establishments,https://www.coventry.gov.uk/directory-record/47713/riding-establishments
Right to buy housing scheme.,https://www.coventry.gov.uk/directory-record/46195/right-to-buy-housing-scheme-
Right to buy sales,https://www.coventry.gov.uk/directory-record/47225/right-to-buy-sales
Right to Buy: 20106188,https://www.coventry.gov.uk/directory-record/44912/right-to-buy-20106188
Right to Buy: 20122239,https://www.coventry.gov.uk/directory-record/44063/right-to-buy-20122239
Right to Buy: 20122240,https://www.coventry.gov.uk/directory-record/44064/right-to-buy-20122240
Right to Buy: REQ00093,https://www.coventry.gov.uk/directory-record/43767/right-to-buy-req00093
Rights of Way - Big Pathwatch,https://www.coventry.gov.uk/directory-record/47508/rights-of-way-big-pathwatch
Ring Fencing of ILF Money,https://www.coventry.gov.uk/directory-record/46922/ring-fencing-of-ilf-money
Ring Road markings and signs.,https://www.coventry.gov.uk/directory-record/43937/ring-road-markings-and-signs-
RIPA,https://www.coventry.gov.uk/directory-record/45872/ripa
RIPA Act - Monitoring,https://www.coventry.gov.uk/directory-record/47155/ripa-act-monitoring
RIPA powers.,https://www.coventry.gov.uk/directory-record/43972/ripa-powers-
Risk assessment for part night street lighting.,https://www.coventry.gov.uk/directory-record/45962/risk-assessment-for-part-night-street-lighting-
Risk Registers,https://www.coventry.gov.uk/directory-record/47373/risk-registers
Road and pavement gritting/salting expenditure.,https://www.coventry.gov.uk/directory-record/45980/road-and-pavement-gritting-salting-expenditure-
Road Bridges,https://www.coventry.gov.uk/directory-record/48301/road-bridges
Road bridges responsibility/inspections etc,https://www.coventry.gov.uk/directory-record/47186/road-bridges-responsibility-inspections-etc
Road Compensation 2015-2017,https://www.coventry.gov.uk/directory-record/48675/road-compensation-2015-2017
Road conditions in Coventry.,https://www.coventry.gov.uk/directory-record/46353/road-conditions-in-coventry-
Road Maintenance Costs,https://www.coventry.gov.uk/directory-record/47902/road-maintenance-costs
Road maintenance for Melbourne Road,https://www.coventry.gov.uk/directory-record/47367/road-maintenance-for-melbourne-road
Road maintenance over the last three years ,https://www.coventry.gov.uk/directory-record/47620/road-maintenance-over-the-last-three-years-
Road maintenance/repair.,https://www.coventry.gov.uk/directory-record/45000/road-maintenance-repair-
Road maintenance: 20098198,https://www.coventry.gov.uk/directory-record/45085/road-maintenance-20098198
Road maintenance: 20109038,https://www.coventry.gov.uk/directory-record/44770/road-maintenance-20109038
Road maintenance: REQ01813,https://www.coventry.gov.uk/directory-record/48315/road-maintenance-req01813
Road Markings,https://www.coventry.gov.uk/directory-record/57276/road-markings
Road Projects,https://www.coventry.gov.uk/directory-record/44322/road-projects
Road Resurfacing,https://www.coventry.gov.uk/directory-record/47053/road-resurfacing
